INDUSTRY SECTOR CODE,INDUSTRY SECTOR
332,Fabricated Metals
332,Fabricated Metals
999,Other
325,Chemicals
325,Chemicals
336,Transportation Equipment
336,Transportation Equipment
325,Chemicals
4247,Petroleum Bulk Terminals
4247,Petroleum Bulk Terminals
331,Primary Metals
334,Computers and Electronic Products
325,Chemicals
2211,Electric Utilities
331,Primary Metals
325,Chemicals
325,Chemicals
331,Primary Metals
2211,Electric Utilities
325,Chemicals
325,Chemicals
325,Chemicals
2211,Electric Utilities
999,Other
325,Chemicals
332,Fabricated Metals
325,Chemicals
325,Chemicals
325,Chemicals
325,Chemicals
336,Transportation Equipment
562,Hazardous Waste
336,Transportation Equipment
562,Hazardous Waste
331,Primary Metals
327,Nonmetallic Mineral Product
327,Nonmetallic Mineral Product
323,Printing
4247,Petroleum Bulk Terminals
336,Transportation Equipment
325,Chemicals
325,Chemicals
333,Machinery
324,Petroleum
333,Machinery
333,Machinery
999,Other
4247,Petroleum Bulk Terminals
325,Chemicals
311,Food
333,Machinery
2211,Electric Utilities
327,Nonmetallic Mineral Product
324,Petroleum
327,Nonmetallic Mineral Product
321,Wood Products
327,Nonmetallic Mineral Product
332,Fabricated Metals
324,Petroleum
4247,Petroleum Bulk Terminals
325,Chemicals
324,Petroleum
2211,Electric Utilities
325,Chemicals
325,Chemicals
4247,Petroleum Bulk Terminals
325,Chemicals
335,Electrical Equipment
331,Primary Metals
324,Petroleum
322,Paper
327,Nonmetallic Mineral Product
321,Wood Products
325,Chemicals
2211,Electric Utilities
311,Food
562,Hazardous Waste
562,Hazardous Waste
332,Fabricated Metals
311,Food
324,Petroleum
4247,Petroleum Bulk Terminals
999,Other
325,Chemicals
331,Primary Metals
325,Chemicals
337,Furniture
325,Chemicals
339,Miscellaneous Manufacturing
311,Food
332,Fabricated Metals
324,Petroleum
311,Food
325,Chemicals
2211,Electric Utilities
325,Chemicals
325,Chemicals
4247,Petroleum Bulk Terminals
2211,Electric Utilities
325,Chemicals
324,Petroleum
332,Fabricated Metals
336,Transportation Equipment
324,Petroleum
325,Chemicals
4247,Petroleum Bulk Terminals
327,Nonmetallic Mineral Product
324,Petroleum
311,Food
325,Chemicals
323,Printing
2121,Coal Mining
334,Computers and Electronic Products
325,Chemicals
327,Nonmetallic Mineral Product
336,Transportation Equipment
325,Chemicals
323,Printing
325,Chemicals
331,Primary Metals
324,Petroleum
325,Chemicals
324,Petroleum
325,Chemicals
332,Fabricated Metals
325,Chemicals
325,Chemicals
4247,Petroleum Bulk Terminals
332,Fabricated Metals
325,Chemicals
335,Electrical Equipment
332,Fabricated Metals
327,Nonmetallic Mineral Product
335,Electrical Equipment
332,Fabricated Metals
325,Chemicals
327,Nonmetallic Mineral Product
999,Other
327,Nonmetallic Mineral Product
562,Hazardous Waste
325,Chemicals
562,Hazardous Waste
311,Food
325,Chemicals
4247,Petroleum Bulk Terminals
311,Food
311,Food
311,Food
331,Primary Metals
325,Chemicals
2211,Electric Utilities
327,Nonmetallic Mineral Product
339,Miscellaneous Manufacturing
322,Paper
331,Primary Metals
325,Chemicals
324,Petroleum
332,Fabricated Metals
4247,Petroleum Bulk Terminals
331,Primary Metals
334,Computers and Electronic Products
2211,Electric Utilities
325,Chemicals
321,Wood Products
331,Primary Metals
4247,Petroleum Bulk Terminals
332,Fabricated Metals
327,Nonmetallic Mineral Product
327,Nonmetallic Mineral Product
331,Primary Metals
325,Chemicals
325,Chemicals
327,Nonmetallic Mineral Product
325,Chemicals
562,Hazardous Waste
336,Transportation Equipment
999,Other
324,Petroleum
2211,Electric Utilities
4247,Petroleum Bulk Terminals
2211,Electric Utilities
336,Transportation Equipment
311,Food
322,Paper
325,Chemicals
325,Chemicals
332,Fabricated Metals
331,Primary Metals
562,Hazardous Waste
332,Fabricated Metals
325,Chemicals
331,Primary Metals
325,Chemicals
331,Primary Metals
327,Nonmetallic Mineral Product
322,Paper
336,Transportation Equipment
322,Paper
332,Fabricated Metals
327,Nonmetallic Mineral Product
327,Nonmetallic Mineral Product
337,Furniture
322,Paper
325,Chemicals
999,Other
325,Chemicals
311,Food
332,Fabricated Metals
331,Primary Metals
4247,Petroleum Bulk Terminals
324,Petroleum
4247,Petroleum Bulk Terminals
325,Chemicals
335,Electrical Equipment
324,Petroleum
322,Paper
332,Fabricated Metals
334,Computers and Electronic Products
325,Chemicals
333,Machinery
4246,Chemical Wholesalers
322,Paper
331,Primary Metals
325,Chemicals
2211,Electric Utilities
322,Paper
325,Chemicals
325,Chemicals
321,Wood Products
324,Petroleum
332,Fabricated Metals
2211,Electric Utilities
4247,Petroleum Bulk Terminals
332,Fabricated Metals
311,Food
562,Hazardous Waste
562,Hazardous Waste
311,Food
325,Chemicals
327,Nonmetallic Mineral Product
325,Chemicals
334,Computers and Electronic Products
311,Food
4246,Chemical Wholesalers
332,Fabricated Metals
311,Food
336,Transportation Equipment
324,Petroleum
332,Fabricated Metals
335,Electrical Equipment
322,Paper
327,Nonmetallic Mineral Product
336,Transportation Equipment
327,Nonmetallic Mineral Product
311,Food
327,Nonmetallic Mineral Product
322,Paper
332,Fabricated Metals
325,Chemicals
332,Fabricated Metals
325,Chemicals
4246,Chemical Wholesalers
325,Chemicals
4247,Petroleum Bulk Terminals
331,Primary Metals
332,Fabricated Metals
321,Wood Products
325,Chemicals
4247,Petroleum Bulk Terminals
562,Hazardous Waste
336,Transportation Equipment
332,Fabricated Metals
339,Miscellaneous Manufacturing
324,Petroleum
332,Fabricated Metals
325,Chemicals
562,Hazardous Waste
562,Hazardous Waste
331,Primary Metals
336,Transportation Equipment
331,Primary Metals
334,Computers and Electronic Products
332,Fabricated Metals
325,Chemicals
325,Chemicals
325,Chemicals
2211,Electric Utilities
331,Primary Metals
332,Fabricated Metals
2211,Electric Utilities
325,Chemicals
325,Chemicals
2211,Electric Utilities
332,Fabricated Metals
331,Primary Metals
311,Food
333,Machinery
311,Food
562,Hazardous Waste
325,Chemicals
322,Paper
311,Food
325,Chemicals
2211,Electric Utilities
327,Nonmetallic Mineral Product
325,Chemicals
332,Fabricated Metals
2211,Electric Utilities
325,Chemicals
325,Chemicals
324,Petroleum
332,Fabricated Metals
2122,Metal Mining
322,Paper
325,Chemicals
334,Computers and Electronic Products
322,Paper
999,Other
2211,Electric Utilities
325,Chemicals
333,Machinery
311,Food
321,Wood Products
333,Machinery
4246,Chemical Wholesalers
332,Fabricated Metals
325,Chemicals
325,Chemicals
325,Chemicals
4246,Chemical Wholesalers
314,Textile Product
324,Petroleum
325,Chemicals
331,Primary Metals
326,Plastics and Rubber
325,Chemicals
325,Chemicals
325,Chemicals
336,Transportation Equipment
2211,Electric Utilities
4247,Petroleum Bulk Terminals
331,Primary Metals
331,Primary Metals
311,Food
325,Chemicals
325,Chemicals
331,Primary Metals
332,Fabricated Metals
325,Chemicals
325,Chemicals
324,Petroleum
4247,Petroleum Bulk Terminals
325,Chemicals
335,Electrical Equipment
322,Paper
325,Chemicals
562,Hazardous Waste
336,Transportation Equipment
999,Other
4246,Chemical Wholesalers
311,Food
332,Fabricated Metals
325,Chemicals
325,Chemicals
325,Chemicals
332,Fabricated Metals
331,Primary Metals
332,Fabricated Metals
325,Chemicals
327,Nonmetallic Mineral Product
325,Chemicals
324,Petroleum
325,Chemicals
325,Chemicals
326,Plastics and Rubber
327,Nonmetallic Mineral Product
331,Primary Metals
4247,Petroleum Bulk Terminals
311,Food
311,Food
562,Hazardous Waste
331,Primary Metals
4247,Petroleum Bulk Terminals
336,Transportation Equipment
325,Chemicals
562,Hazardous Waste
325,Chemicals
335,Electrical Equipment
327,Nonmetallic Mineral Product
325,Chemicals
322,Paper
336,Transportation Equipment
332,Fabricated Metals
334,Computers and Electronic Products
562,Hazardous Waste
324,Petroleum
333,Machinery
311,Food
322,Paper
327,Nonmetallic Mineral Product
334,Computers and Electronic Products
324,Petroleum
327,Nonmetallic Mineral Product
4246,Chemical Wholesalers
332,Fabricated Metals
327,Nonmetallic Mineral Product
322,Paper
325,Chemicals
999,Other
327,Nonmetallic Mineral Product
325,Chemicals
4247,Petroleum Bulk Terminals
336,Transportation Equipment
321,Wood Products
324,Petroleum
336,Transportation Equipment
333,Machinery
4247,Petroleum Bulk Terminals
332,Fabricated Metals
333,Machinery
2211,Electric Utilities
322,Paper
325,Chemicals
332,Fabricated Metals
331,Primary Metals
332,Fabricated Metals
325,Chemicals
326,Plastics and Rubber
325,Chemicals
325,Chemicals
325,Chemicals
322,Paper
331,Primary Metals
325,Chemicals
335,Electrical Equipment
332,Fabricated Metals
2122,Metal Mining
322,Paper
325,Chemicals
324,Petroleum
332,Fabricated Metals
325,Chemicals
331,Primary Metals
2211,Electric Utilities
999,Other
336,Transportation Equipment
336,Transportation Equipment
332,Fabricated Metals
332,Fabricated Metals
331,Primary Metals
324,Petroleum
332,Fabricated Metals
325,Chemicals
325,Chemicals
334,Computers and Electronic Products
2211,Electric Utilities
4246,Chemical Wholesalers
336,Transportation Equipment
325,Chemicals
2211,Electric Utilities
339,Miscellaneous Manufacturing
327,Nonmetallic Mineral Product
324,Petroleum
332,Fabricated Metals
331,Primary Metals
324,Petroleum
332,Fabricated Metals
332,Fabricated Metals
562,Hazardous Waste
331,Primary Metals
324,Petroleum
327,Nonmetallic Mineral Product
311,Food
326,Plastics and Rubber
4247,Petroleum Bulk Terminals
332,Fabricated Metals
325,Chemicals
2211,Electric Utilities
325,Chemicals
327,Nonmetallic Mineral Product
332,Fabricated Metals
325,Chemicals
325,Chemicals
325,Chemicals
322,Paper
311,Food
325,Chemicals
332,Fabricated Metals
331,Primary Metals
332,Fabricated Metals
325,Chemicals
331,Primary Metals
325,Chemicals
331,Primary Metals
334,Computers and Electronic Products
2211,Electric Utilities
326,Plastics and Rubber
325,Chemicals
336,Transportation Equipment
332,Fabricated Metals
333,Machinery
4247,Petroleum Bulk Terminals
332,Fabricated Metals
331,Primary Metals
324,Petroleum
326,Plastics and Rubber
332,Fabricated Metals
327,Nonmetallic Mineral Product
325,Chemicals
336,Transportation Equipment
324,Petroleum
562,Hazardous Waste
324,Petroleum
325,Chemicals
325,Chemicals
326,Plastics and Rubber
326,Plastics and Rubber
327,Nonmetallic Mineral Product
325,Chemicals
331,Primary Metals
325,Chemicals
336,Transportation Equipment
332,Fabricated Metals
4246,Chemical Wholesalers
324,Petroleum
333,Machinery
324,Petroleum
325,Chemicals
324,Petroleum
336,Transportation Equipment
311,Food
332,Fabricated Metals
332,Fabricated Metals
4247,Petroleum Bulk Terminals
4246,Chemical Wholesalers
331,Primary Metals
325,Chemicals
332,Fabricated Metals
332,Fabricated Metals
321,Wood Products
333,Machinery
325,Chemicals
2122,Metal Mining
327,Nonmetallic Mineral Product
331,Primary Metals
325,Chemicals
4247,Petroleum Bulk Terminals
325,Chemicals
325,Chemicals
332,Fabricated Metals
331,Primary Metals
324,Petroleum
325,Chemicals
325,Chemicals
325,Chemicals
334,Computers and Electronic Products
327,Nonmetallic Mineral Product
324,Petroleum
325,Chemicals
4246,Chemical Wholesalers
999,Other
331,Primary Metals
999,Other
325,Chemicals
326,Plastics and Rubber
325,Chemicals
325,Chemicals
327,Nonmetallic Mineral Product
325,Chemicals
325,Chemicals
4247,Petroleum Bulk Terminals
325,Chemicals
327,Nonmetallic Mineral Product
325,Chemicals
332,Fabricated Metals
324,Petroleum
333,Machinery
336,Transportation Equipment
336,Transportation Equipment
325,Chemicals
336,Transportation Equipment
4246,Chemical Wholesalers
324,Petroleum
336,Transportation Equipment
562,Hazardous Waste
325,Chemicals
325,Chemicals
321,Wood Products
324,Petroleum
311,Food
324,Petroleum
311,Food
4246,Chemical Wholesalers
325,Chemicals
325,Chemicals
325,Chemicals
332,Fabricated Metals
325,Chemicals
336,Transportation Equipment
327,Nonmetallic Mineral Product
326,Plastics and Rubber
331,Primary Metals
331,Primary Metals
336,Transportation Equipment
336,Transportation Equipment
336,Transportation Equipment
327,Nonmetallic Mineral Product
331,Primary Metals
562,Hazardous Waste
4247,Petroleum Bulk Terminals
324,Petroleum
336,Transportation Equipment
325,Chemicals
4247,Petroleum Bulk Terminals
562,Hazardous Waste
336,Transportation Equipment
562,Hazardous Waste
562,Hazardous Waste
2122,Metal Mining
332,Fabricated Metals
2211,Electric Utilities
325,Chemicals
325,Chemicals
331,Primary Metals
325,Chemicals
4247,Petroleum Bulk Terminals
324,Petroleum
325,Chemicals
999,Other
325,Chemicals
332,Fabricated Metals
562,Hazardous Waste
327,Nonmetallic Mineral Product
332,Fabricated Metals
331,Primary Metals
325,Chemicals
4246,Chemical Wholesalers
4247,Petroleum Bulk Terminals
326,Plastics and Rubber
562,Hazardous Waste
4247,Petroleum Bulk Terminals
325,Chemicals
325,Chemicals
325,Chemicals
2122,Metal Mining
4246,Chemical Wholesalers
311,Food
322,Paper
562,Hazardous Waste
327,Nonmetallic Mineral Product
327,Nonmetallic Mineral Product
325,Chemicals
321,Wood Products
324,Petroleum
322,Paper
325,Chemicals
331,Primary Metals
2122,Metal Mining
332,Fabricated Metals
332,Fabricated Metals
333,Machinery
562,Hazardous Waste
333,Machinery
562,Hazardous Waste
325,Chemicals
4246,Chemical Wholesalers
324,Petroleum
331,Primary Metals
4247,Petroleum Bulk Terminals
562,Hazardous Waste
336,Transportation Equipment
325,Chemicals
311,Food
332,Fabricated Metals
337,Furniture
325,Chemicals
327,Nonmetallic Mineral Product
332,Fabricated Metals
325,Chemicals
327,Nonmetallic Mineral Product
336,Transportation Equipment
322,Paper
339,Miscellaneous Manufacturing
325,Chemicals
4246,Chemical Wholesalers
333,Machinery
327,Nonmetallic Mineral Product
327,Nonmetallic Mineral Product
999,Other
325,Chemicals
325,Chemicals
325,Chemicals
3121,Beverages
325,Chemicals
999,Other
327,Nonmetallic Mineral Product
327,Nonmetallic Mineral Product
331,Primary Metals
4247,Petroleum Bulk Terminals
2211,Electric Utilities
332,Fabricated Metals
332,Fabricated Metals
4247,Petroleum Bulk Terminals
325,Chemicals
325,Chemicals
333,Machinery
336,Transportation Equipment
332,Fabricated Metals
4247,Petroleum Bulk Terminals
331,Primary Metals
2211,Electric Utilities
325,Chemicals
2211,Electric Utilities
336,Transportation Equipment
332,Fabricated Metals
334,Computers and Electronic Products
325,Chemicals
332,Fabricated Metals
326,Plastics and Rubber
327,Nonmetallic Mineral Product
325,Chemicals
325,Chemicals
325,Chemicals
325,Chemicals
327,Nonmetallic Mineral Product
336,Transportation Equipment
325,Chemicals
333,Machinery
332,Fabricated Metals
325,Chemicals
327,Nonmetallic Mineral Product
332,Fabricated Metals
327,Nonmetallic Mineral Product
325,Chemicals
339,Miscellaneous Manufacturing
562,Hazardous Waste
331,Primary Metals
327,Nonmetallic Mineral Product
332,Fabricated Metals
322,Paper
331,Primary Metals
324,Petroleum
326,Plastics and Rubber
327,Nonmetallic Mineral Product
325,Chemicals
324,Petroleum
324,Petroleum
325,Chemicals
336,Transportation Equipment
325,Chemicals
562,Hazardous Waste
325,Chemicals
325,Chemicals
324,Petroleum
4246,Chemical Wholesalers
325,Chemicals
4247,Petroleum Bulk Terminals
332,Fabricated Metals
327,Nonmetallic Mineral Product
311,Food
325,Chemicals
327,Nonmetallic Mineral Product
333,Machinery
325,Chemicals
321,Wood Products
4246,Chemical Wholesalers
324,Petroleum
325,Chemicals
316,Leather
4247,Petroleum Bulk Terminals
333,Machinery
4246,Chemical Wholesalers
311,Food
321,Wood Products
332,Fabricated Metals
325,Chemicals
324,Petroleum
327,Nonmetallic Mineral Product
324,Petroleum
336,Transportation Equipment
562,Hazardous Waste
331,Primary Metals
331,Primary Metals
332,Fabricated Metals
332,Fabricated Metals
332,Fabricated Metals
2211,Electric Utilities
331,Primary Metals
325,Chemicals
332,Fabricated Metals
325,Chemicals
332,Fabricated Metals
2211,Electric Utilities
311,Food
336,Transportation Equipment
311,Food
334,Computers and Electronic Products
325,Chemicals
327,Nonmetallic Mineral Product
325,Chemicals
325,Chemicals
562,Hazardous Waste
325,Chemicals
333,Machinery
2211,Electric Utilities
2122,Metal Mining
4247,Petroleum Bulk Terminals
332,Fabricated Metals
332,Fabricated Metals
325,Chemicals
336,Transportation Equipment
333,Machinery
332,Fabricated Metals
311,Food
322,Paper
999,Other
2211,Electric Utilities
325,Chemicals
562,Hazardous Waste
327,Nonmetallic Mineral Product
331,Primary Metals
326,Plastics and Rubber
4246,Chemical Wholesalers
2211,Electric Utilities
332,Fabricated Metals
333,Machinery
327,Nonmetallic Mineral Product
333,Machinery
322,Paper
311,Food
4247,Petroleum Bulk Terminals
327,Nonmetallic Mineral Product
325,Chemicals
324,Petroleum
325,Chemicals
311,Food
336,Transportation Equipment
326,Plastics and Rubber
324,Petroleum
311,Food
325,Chemicals
331,Primary Metals
325,Chemicals
2211,Electric Utilities
325,Chemicals
4246,Chemical Wholesalers
324,Petroleum
325,Chemicals
327,Nonmetallic Mineral Product
311,Food
325,Chemicals
2211,Electric Utilities
562,Hazardous Waste
3121,Beverages
325,Chemicals
325,Chemicals
332,Fabricated Metals
332,Fabricated Metals
327,Nonmetallic Mineral Product
324,Petroleum
325,Chemicals
327,Nonmetallic Mineral Product
322,Paper
999,Other
331,Primary Metals
325,Chemicals
311,Food
325,Chemicals
4247,Petroleum Bulk Terminals
324,Petroleum
325,Chemicals
332,Fabricated Metals
331,Primary Metals
324,Petroleum
331,Primary Metals
322,Paper
325,Chemicals
331,Primary Metals
332,Fabricated Metals
323,Printing
325,Chemicals
325,Chemicals
4246,Chemical Wholesalers
332,Fabricated Metals
325,Chemicals
325,Chemicals
325,Chemicals
325,Chemicals
332,Fabricated Metals
325,Chemicals
332,Fabricated Metals
331,Primary Metals
331,Primary Metals
333,Machinery
2122,Metal Mining
4246,Chemical Wholesalers
331,Primary Metals
332,Fabricated Metals
562,Hazardous Waste
325,Chemicals
332,Fabricated Metals
999,Other
322,Paper
325,Chemicals
324,Petroleum
311,Food
325,Chemicals
2122,Metal Mining
325,Chemicals
325,Chemicals
324,Petroleum
336,Transportation Equipment
325,Chemicals
336,Transportation Equipment
325,Chemicals
325,Chemicals
3121,Beverages
4247,Petroleum Bulk Terminals
333,Machinery
4247,Petroleum Bulk Terminals
336,Transportation Equipment
333,Machinery
324,Petroleum
333,Machinery
325,Chemicals
325,Chemicals
336,Transportation Equipment
331,Primary Metals
332,Fabricated Metals
325,Chemicals
333,Machinery
327,Nonmetallic Mineral Product
321,Wood Products
327,Nonmetallic Mineral Product
326,Plastics and Rubber
4247,Petroleum Bulk Terminals
311,Food
334,Computers and Electronic Products
325,Chemicals
325,Chemicals
324,Petroleum
332,Fabricated Metals
325,Chemicals
562,Hazardous Waste
332,Fabricated Metals
4246,Chemical Wholesalers
562,Hazardous Waste
2122,Metal Mining
325,Chemicals
326,Plastics and Rubber
332,Fabricated Metals
4246,Chemical Wholesalers
331,Primary Metals
332,Fabricated Metals
332,Fabricated Metals
336,Transportation Equipment
336,Transportation Equipment
324,Petroleum
327,Nonmetallic Mineral Product
325,Chemicals
326,Plastics and Rubber
336,Transportation Equipment
311,Food
999,Other
325,Chemicals
331,Primary Metals
332,Fabricated Metals
4247,Petroleum Bulk Terminals
324,Petroleum
336,Transportation Equipment
4246,Chemical Wholesalers
332,Fabricated Metals
331,Primary Metals
4246,Chemical Wholesalers
2211,Electric Utilities
332,Fabricated Metals
4246,Chemical Wholesalers
336,Transportation Equipment
336,Transportation Equipment
324,Petroleum
326,Plastics and Rubber
336,Transportation Equipment
311,Food
332,Fabricated Metals
336,Transportation Equipment
326,Plastics and Rubber
325,Chemicals
322,Paper
336,Transportation Equipment
331,Primary Metals
324,Petroleum
325,Chemicals
2211,Electric Utilities
324,Petroleum
2211,Electric Utilities
2211,Electric Utilities
325,Chemicals
324,Petroleum
331,Primary Metals
336,Transportation Equipment
311,Food
324,Petroleum
325,Chemicals
325,Chemicals
336,Transportation Equipment
2211,Electric Utilities
333,Machinery
311,Food
4246,Chemical Wholesalers
332,Fabricated Metals
325,Chemicals
326,Plastics and Rubber
326,Plastics and Rubber
321,Wood Products
325,Chemicals
325,Chemicals
325,Chemicals
325,Chemicals
325,Chemicals
333,Machinery
2211,Electric Utilities
2211,Electric Utilities
562,Hazardous Waste
335,Electrical Equipment
4247,Petroleum Bulk Terminals
2211,Electric Utilities
2211,Electric Utilities
332,Fabricated Metals
332,Fabricated Metals
311,Food
327,Nonmetallic Mineral Product
332,Fabricated Metals
999,Other
325,Chemicals
336,Transportation Equipment
311,Food
325,Chemicals
332,Fabricated Metals
333,Machinery
999,Other
325,Chemicals
325,Chemicals
336,Transportation Equipment
2211,Electric Utilities
562,Hazardous Waste
324,Petroleum
325,Chemicals
562,Hazardous Waste
325,Chemicals
324,Petroleum
325,Chemicals
332,Fabricated Metals
311,Food
325,Chemicals
2211,Electric Utilities
326,Plastics and Rubber
322,Paper
321,Wood Products
332,Fabricated Metals
322,Paper
336,Transportation Equipment
325,Chemicals
331,Primary Metals
336,Transportation Equipment
325,Chemicals
325,Chemicals
325,Chemicals
311,Food
325,Chemicals
325,Chemicals
331,Primary Metals
4247,Petroleum Bulk Terminals
324,Petroleum
311,Food
4247,Petroleum Bulk Terminals
332,Fabricated Metals
324,Petroleum
2211,Electric Utilities
325,Chemicals
336,Transportation Equipment
325,Chemicals
324,Petroleum
326,Plastics and Rubber
322,Paper
325,Chemicals
325,Chemicals
336,Transportation Equipment
332,Fabricated Metals
322,Paper
4246,Chemical Wholesalers
325,Chemicals
316,Leather
562,Hazardous Waste
325,Chemicals
332,Fabricated Metals
335,Electrical Equipment
327,Nonmetallic Mineral Product
325,Chemicals
331,Primary Metals
4247,Petroleum Bulk Terminals
325,Chemicals
562,Hazardous Waste
325,Chemicals
311,Food
4246,Chemical Wholesalers
327,Nonmetallic Mineral Product
326,Plastics and Rubber
325,Chemicals
311,Food
325,Chemicals
4246,Chemical Wholesalers
336,Transportation Equipment
326,Plastics and Rubber
4246,Chemical Wholesalers
325,Chemicals
332,Fabricated Metals
2211,Electric Utilities
324,Petroleum
327,Nonmetallic Mineral Product
325,Chemicals
331,Primary Metals
311,Food
327,Nonmetallic Mineral Product
336,Transportation Equipment
325,Chemicals
332,Fabricated Metals
325,Chemicals
3122,Tobacco
332,Fabricated Metals
321,Wood Products
332,Fabricated Metals
333,Machinery
333,Machinery
325,Chemicals
325,Chemicals
325,Chemicals
325,Chemicals
324,Petroleum
327,Nonmetallic Mineral Product
335,Electrical Equipment
332,Fabricated Metals
4246,Chemical Wholesalers
4247,Petroleum Bulk Terminals
324,Petroleum
311,Food
336,Transportation Equipment
324,Petroleum
2211,Electric Utilities
331,Primary Metals
325,Chemicals
336,Transportation Equipment
331,Primary Metals
336,Transportation Equipment
325,Chemicals
331,Primary Metals
334,Computers and Electronic Products
321,Wood Products
324,Petroleum
999,Other
336,Transportation Equipment
326,Plastics and Rubber
332,Fabricated Metals
322,Paper
336,Transportation Equipment
325,Chemicals
331,Primary Metals
325,Chemicals
334,Computers and Electronic Products
332,Fabricated Metals
325,Chemicals
331,Primary Metals
332,Fabricated Metals
332,Fabricated Metals
332,Fabricated Metals
325,Chemicals
335,Electrical Equipment
332,Fabricated Metals
321,Wood Products
332,Fabricated Metals
